,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],,Es Sensible,Apto VLM
,35,  243 ,  24 ,  0.0016 ,  -   ,  0.0324 ,  -   ,  20 ,  0.45 ,  43.50 ,  130.00 ,  185.00 ,,NO,SI
,5157,  45 ,  -   ,  0.0016 , #VALUE!,  0.0324 , -,  20 ,  0.60 ,  44.00 ,  130.00 ,  185.00 ,,NO,SI
,36,  760 ,  121 ,  0.0003 ,  -   ,  0.0170 ,  -   ,  50 ,  0.33 ,  22.03 ,  85.00 ,  260.00 ,,NO,SI
,37,"  1,717 ",  347 ,  0.0053 ,  -   ,  0.1050 ,  -   ,  20 ,  0.70 ,  67.00 ,  138.00 ,  470.00 ,,NO,SI
,38,  58 ,  6 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.05 ,  25.00 ,  70.00 ,  45.00 ,,NO,SI
,39,"  7,360 ","  1,285 ",  0.0001 ,  -   ,  0.0105 ,  -   ,  100 ,  0.13 ,  24.50 ,  65.00 ,  80.00 ,,NO,SI
,40,"  4,914 ",  847 ,  0.0001 ,  -   ,  0.0131 ,  -   ,  100 ,  0.15 ,  24.00 ,  65.00 ,  95.00 ,,NO,SI
,41,"  2,312 ",  429 ,  0.0002 ,  -   ,  0.0158 ,  -   ,  100 ,  0.17 ,  24.06 ,  65.00 ,  100.00 ,,NO,SI
,42,"  5,094 ",  854 ,  0.0013 ,  0.0065 ,  0.0517 ,  5 ,  40 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,43,"  2,964 ",  448 ,  0.0013 ,  0.0256 ,  0.1026 ,  20 ,  80 ,  0.32 ,  31.00 ,  180.00 ,  205.00 ,,NO,SI
,44,"  7,181 ","  1,287 ",  0.0001 ,  -   ,  0.0148 ,  -   ,  200 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,45,"  3,727 ",  658 ,  0.0001 ,  -   ,  0.0112 ,  -   ,  200 ,  0.06 ,  13.50 ,  75.00 ,  70.00 ,,NO,SI
,46,"  2,407 ",  397 ,  0.0009 ,  0.0055 ,  0.0333 ,  6 ,  36 ,  0.64 ,  29.29 ,  135.00 ,  325.00 ,,NO,SI
,47,"  1,306 ",  240 ,  0.0012 ,  0.0116 ,  0.0580 ,  10 ,  50 ,  0.23 ,  26.40 ,  250.00 ,  98.00 ,,NO,SI
