,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],,Es Sensible,Apto VLM
,1160,  126 ,  16 ,  0.0005 ,  -   ,  0.0212 ,  -   ,  40 ,  0.45 ,  55.00 ,  55.00 ,  65.00 ,,NO,SI
,1161,  378 ,  37 ,  0.0005 ,  -   ,  0.0212 ,  -   ,  40 ,  0.53 ,  65.00 ,  65.00 ,  65.00 ,,NO,SI
,1162,  52 ,  12 ,  0.0003 ,  -   ,  0.0126 ,  -   ,  40 ,  0.30 ,  55.00 ,  55.00 ,  65.00 ,,NO,SI
,1163,  187 ,  25 ,  0.0003 ,  -   ,  0.0124 ,  -   ,  40 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1164,  78 ,  12 ,  0.0003 ,  -   ,  0.0126 ,  -   ,  40 ,  0.47 ,  55.00 ,  55.00 ,  65.00 ,,NO,SI
,1165,  214 ,  26 ,  0.0003 ,  -   ,  0.0126 ,  -   ,  40 ,  0.59 ,  65.00 ,  65.00 ,  65.00 ,,NO,SI
,1166,  133 ,  18 ,  0.0008 ,  -   ,  0.0127 ,  -   ,  16 ,  0.66 ,  75.00 ,  75.00 ,  80.00 ,,NO,SI
,1167,  123 ,  10 ,  0.0006 ,  -   ,  0.0089 ,  -   ,  16 ,  0.82 ,  70.00 ,  75.00 ,  80.00 ,,NO,SI
,1168,  51 ,  8 ,  0.0006 ,  -   ,  0.0089 ,  -   ,  16 ,  0.81 ,  75.00 ,  75.00 ,  80.00 ,,NO,SI
,1169,  234 ,  20 ,  0.0006 ,  -   ,  0.0089 ,  -   ,  16 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1170,  96 ,  13 ,  0.0014 ,  -   ,  0.0217 ,  -   ,  16 ,  0.90 ,  70.00 ,  70.00 ,  75.00 ,,NO,SI
,1171,  65 ,  3 ,  0.0009 ,  -   ,  0.0080 ,  -   ,  9 ,  1.43 ,  85.00 ,  90.00 ,  95.00 ,,NO,SI
,1172,  78 ,  5 ,  0.0014 ,  -   ,  0.0125 ,  -   ,  9 ,  1.17 ,  85.00 ,  85.00 ,  95.00 ,,NO,SI
,1173,  67 ,  9 ,  0.0014 ,  -   ,  0.0125 ,  -   ,  9 ,  1.26 ,  85.00 ,  85.00 ,  95.00 ,,NO,SI
,1174,  980 ,  140 ,  0.0002 ,  -   ,  0.0081 ,  -   ,  50 ,  0.16 ,  35.00 ,  35.00 ,  80.00 ,,NO,SI
,1175,  123 ,  23 ,  0.0003 ,  -   ,  0.0069 ,  -   ,  20 ,  0.60 ,  55.00 ,  60.00 ,  95.00 ,,NO,SI
,1176,  347 ,  65 ,  0.0023 ,  -   ,  0.0230 ,  -   ,  10 ,  1.51 ,  57.00 ,  280.00 ,  178.00 ,,NO,SI
,1177,  122 ,  26 ,  0.0262 ,  -   ,  0.0262 ,  -   ,  1 ,  14.86 ,  105.00 ,  425.00 ,  530.00 ,,NO,SI
,1178,  77 ,  18 ,  0.0013 ,  -   ,  0.0269 ,  -   ,  20 ,  0.62 ,  50.50 ,  109.00 ,  168.00 ,,NO,SI
,1179,  705 ,  122 ,  0.0049 ,  -   ,  0.0494 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1180,"  5,735 ",  863 ,  0.0004 ,  0.0044 ,  0.0443 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1181,"  6,233 ",  940 ,  0.0006 ,  0.0055 ,  0.0553 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1182,  14 ,  2 ,  0.0109 ,  -   ,  0.0435 ,  -   ,  4 ,  3.33 ,  105.88 ,  215.00 ,  420.00 ,,NO,SI
,1183,  98 ,  18 ,  0.0029 ,  0.0146 ,  0.0293 ,  5 ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1184,"  3,367 ",  530 ,  0.0049 ,  -   ,  0.0495 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1185,"  1,063 ",  212 ,  0.0009 ,  0.0093 ,  0.0466 ,  10 ,  50 ,  0.23 ,  26.40 ,  250.00 ,  98.00 ,,NO,SI
,1186,  429 ,  84 ,  0.0012 ,  0.0122 ,  0.0610 ,  10 ,  50 ,  0.40 ,  27.30 ,  309.00 ,  103.00 ,,NO,SI
,1187,  177 ,  82 ,  0.0022 ,  -   ,  0.0263 ,  -   ,  12 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,5179,  297 ,  -   ,  0.0035 , #VALUE!,  0.0422 , -,  12 ,  1.00 ,  26.00 ,  230.00 ,  590.00 ,,NO,SI
,1188,  306 ,  143 ,  0.0030 ,  -   ,  0.0364 ,  -   ,  12 ,  1.52 ,  30.86 ,  230.00 ,  120.00 ,,NO,SI
,5180,  317 ,  -   ,  0.0009 , #VALUE!,  0.0102 , -,  12 ,  1.52 ,  30.90 ,  230.00 ,  120.00 ,,NO,SI
,1189,  329 ,  164 ,  0.0033 ,  -   ,  0.0400 ,  -   ,  12 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,5181,  519 ,  -   ,  0.0068 , #VALUE!,  0.0816 , -,  12 ,  1.46 ,  40.00 ,  270.00 ,  630.00 ,,NO,SI
,1190,  285 ,  85 ,  0.0044 ,  -   ,  0.0531 ,  -   ,  12 ,  0.17 ,  5.40 ,  50.00 ,  175.00 ,,NO,SI
,5182,  87 ,  -   ,  0.0000 , #VALUE!,  0.0006 , -,  12 ,  0.17 ,  5.40 ,  50.00 ,  175.00 ,,NO,SI
,1191,  99 ,  24 ,  0.0004 ,  -   ,  0.0230 ,  -   ,  60 ,  0.10 ,  36.50 ,  55.50 ,  150.00 ,,NO,SI
,1193,  292 ,  55 ,  0.0001 ,  -   ,  0.0071 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1194,  552 ,  91 ,  0.0001 ,  -   ,  0.0071 ,  -   ,  100 ,  0.04 ,  35.45 ,  36.02 ,  71.75 ,,NO,SI
,1195,  371 ,  57 ,  0.0001 ,  -   ,  0.0071 ,  -   ,  100 ,  0.04 ,  35.00 ,  35.00 ,  70.00 ,,NO,SI
,1196,  948 ,  163 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.03 ,  35.00 ,  35.00 ,  70.00 ,,NO,SI
,1197,"  1,033 ",  168 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.04 ,  35.05 ,  35.40 ,  70.30 ,,NO,SI
,1198,  520 ,  97 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.04 ,  35.00 ,  35.00 ,  70.00 ,,NO,SI
,1199,"  1,842 ",  303 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.06 ,  35.28 ,  35.45 ,  71.05 ,,NO,SI
,1200,  730 ,  120 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.05 ,  36.21 ,  34.77 ,  70.22 ,,NO,SI
,1201,"  2,327 ",  397 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.06 ,  35.27 ,  36.10 ,  70.15 ,,NO,SI
,1202,  925 ,  174 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1203,  512 ,  81 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.07 ,  34.72 ,  36.25 ,  70.60 ,,NO,SI
,1204,  478 ,  80 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1205,"  1,060 ",  170 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.08 ,  34.50 ,  36.20 ,  70.00 ,,NO,SI
,1206,"  1,383 ",  154 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.08 ,  35.00 ,  35.00 ,  70.00 ,,NO,SI
,1207,  658 ,  113 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.09 ,  35.00 ,  35.00 ,  70.00 ,,NO,SI
,1208,  983 ,  166 ,  0.0001 ,  -   ,  0.0124 ,  -   ,  100 ,  0.09 ,  35.00 ,  35.00 ,  70.00 ,,NO,SI
,1209,  347 ,  48 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.08 ,  55.00 ,  55.00 ,  70.00 ,,NO,SI
,1210,  743 ,  119 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.08 ,  55.00 ,  55.00 ,  70.00 ,,NO,SI
,1211,"  1,034 ",  166 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.09 ,  50.00 ,  50.00 ,  70.00 ,,NO,SI
,1212,  335 ,  61 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.09 ,  55.00 ,  55.00 ,  70.00 ,,NO,SI
,1213,  363 ,  69 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.09 ,  55.00 ,  55.00 ,  70.00 ,,NO,SI
,1214,  505 ,  76 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1215,  387 ,  69 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.10 ,  50.00 ,  55.00 ,  70.00 ,,NO,SI
,1216,  396 ,  59 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.11 ,  50.00 ,  55.00 ,  70.00 ,,NO,SI
,1217,"  1,202 ",  191 ,  0.0002 ,  -   ,  0.0243 ,  -   ,  100 ,  0.13 ,  50.00 ,  55.00 ,  70.00 ,,NO,SI
,1218,  498 ,  80 ,  0.0004 ,  -   ,  0.0219 ,  -   ,  50 ,  0.13 ,  50.00 ,  75.00 ,  95.00 ,,NO,SI
,1219,  424 ,  68 ,  0.0004 ,  -   ,  0.0218 ,  -   ,  50 ,  0.14 ,  50.00 ,  75.00 ,  95.00 ,,NO,SI
,1220,  308 ,  57 ,  0.0004 ,  -   ,  0.0219 ,  -   ,  50 ,  0.16 ,  50.00 ,  75.00 ,  100.00 ,,NO,SI
,1221,"  1,142 ",  186 ,  0.0004 ,  -   ,  0.0218 ,  -   ,  50 ,  0.17 ,  50.00 ,  75.00 ,  95.00 ,,NO,SI
,1222,  426 ,  78 ,  0.0004 ,  -   ,  0.0218 ,  -   ,  50 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1223,  426 ,  68 ,  0.0004 ,  -   ,  0.0219 ,  -   ,  50 ,  0.20 ,  50.00 ,  100.00 ,  80.00 ,,NO,SI
,1224,  178 ,  30 ,  0.0004 ,  -   ,  0.0219 ,  -   ,  50 ,  0.20 ,  50.00 ,  75.00 ,  100.00 ,,NO,SI
,1225,  450 ,  61 ,  0.0004 ,  -   ,  0.0218 ,  -   ,  50 ,  0.22 ,  50.00 ,  100.00 ,  80.00 ,,NO,SI
,1226,  228 ,  41 ,  0.0004 ,  -   ,  0.0219 ,  -   ,  50 ,  0.23 ,  50.00 ,  75.00 ,  100.00 ,,NO,SI
,1227,  514 ,  84 ,  0.0007 ,  -   ,  0.0359 ,  -   ,  50 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1228,  359 ,  49 ,  0.0007 ,  -   ,  0.0359 ,  -   ,  50 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1229,  263 ,  48 ,  0.0007 ,  -   ,  0.0359 ,  -   ,  50 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1230,  204 ,  37 ,  0.0007 ,  -   ,  0.0358 ,  -   ,  50 ,  0.32 ,  50.00 ,  100.00 ,  120.00 ,,NO,SI
,1231,  168 ,  32 ,  0.0007 ,  -   ,  0.0358 ,  -   ,  50 ,  0.33 ,  45.00 ,  100.00 ,  120.00 ,,NO,SI
,1232,  115 ,  20 ,  0.0007 ,  -   ,  0.0357 ,  -   ,  50 ,  0.36 ,  50.00 ,  100.00 ,  120.00 ,,NO,SI
,1233,  78 ,  14 ,  0.0009 ,  -   ,  0.0441 ,  -   ,  50 ,  0.37 ,  47.10 ,  100.00 ,  120.00 ,,NO,SI
,1234,  106 ,  19 ,  0.0007 ,  -   ,  0.0358 ,  -   ,  50 ,  0.40 ,  47.83 ,  100.00 ,  120.00 ,,NO,SI
,1235,  264 ,  46 ,  0.0011 ,  -   ,  0.0225 ,  -   ,  20 ,  0.43 ,  50.00 ,  125.00 ,  155.00 ,,NO,SI
,1236,  134 ,  26 ,  0.0011 ,  -   ,  0.0225 ,  -   ,  20 ,  0.48 ,  50.00 ,  150.00 ,  150.00 ,,NO,SI
,1237,  185 ,  33 ,  0.0011 ,  -   ,  0.0225 ,  -   ,  20 ,  0.53 ,  50.00 ,  130.00 ,  155.00 ,,NO,SI
,1238,  94 ,  19 ,  0.0011 ,  -   ,  0.0225 ,  -   ,  20 ,  0.60 ,  50.00 ,  130.00 ,  150.00 ,,NO,SI
,1239,  85 ,  19 ,  0.0016 ,  -   ,  0.0326 ,  -   ,  20 ,  0.64 ,  50.00 ,  160.00 ,  180.00 ,,NO,SI
,1240,  56 ,  9 ,  0.0016 ,  -   ,  0.0326 ,  -   ,  20 ,  0.70 ,  50.00 ,  160.00 ,  180.00 ,,NO,SI
,1241,  64 ,  10 ,  0.0016 ,  -   ,  0.0326 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1242,  32 ,  6 ,  0.0017 ,  -   ,  0.0343 ,  -   ,  20 ,  0.83 ,  50.00 ,  160.00 ,  180.00 ,,NO,SI
,1243,  237 ,  62 ,  0.0045 ,  -   ,  0.0538 ,  -   ,  12 ,  1.34 ,  25.00 ,  400.00 ,  765.00 ,,NO,SI
,5183,  76 ,  -   ,  0.0077 , #VALUE!,  0.0918 , -,  12 ,  1.34 ,  25.00 ,  400.00 ,  765.00 ,,NO,SI
,1244,"  1,510 ",  268 ,  0.0002 ,  0.0154 ,  0.0308 ,  100 ,  200 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,1245,  366 ,  57 ,  0.0002 ,  0.0061 ,  0.0121 ,  25 ,  50 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1246,"  4,151 ",  691 ,  0.0003 ,  0.0268 ,  0.0536 ,  100 ,  200 ,  0.13 ,  7.70 ,  130.00 ,  160.00 ,,NO,SI
,1247,"  1,151 ",  196 ,  0.0005 ,  0.0127 ,  0.0254 ,  25 ,  50 ,  0.40 ,  6.30 ,  190.00 ,  225.00 ,,NO,SI
,1248,  370 ,  78 ,  0.0094 ,  -   ,  0.0282 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1249,"  6,849 ","  1,366 ",  0.0001 ,  0.0015 ,  0.0744 ,  12 ,  600 ,  0.04 ,  16.00 ,  65.00 ,  105.00 ,,NO,SI
,1250,"  10,172 ","  2,098 ",  0.0001 ,  0.0015 ,  0.0590 ,  12 ,  480 ,  0.05 ,  17.50 ,  65.00 ,  105.00 ,,NO,SI
,1251,"  17,080 ","  3,203 ",  0.0002 ,  0.0019 ,  0.0386 ,  12 ,  240 ,  0.10 ,  19.53 ,  80.00 ,  120.00 ,,NO,SI
,1252,"  21,909 ","  3,915 ",  0.0002 ,  0.0021 ,  0.0320 ,  12 ,  180 ,  0.15 ,  22.61 ,  80.00 ,  120.00 ,,NO,SI
,1253,"  13,512 ","  2,430 ",  0.0003 ,  0.0018 ,  0.0216 ,  6 ,  72 ,  0.31 ,  24.20 ,  90.00 ,  140.00 ,,NO,SI
,1254,"  4,841 ",  939 ,  0.0004 ,  0.0027 ,  0.0213 ,  6 ,  48 ,  0.45 ,  22.50 ,  105.00 ,  140.00 ,,NO,SI
,1255,  99 ,  18 ,  0.0000 ,  -   ,  0.0047 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1256,  71 ,  13 ,  0.0000 ,  -   ,  0.0045 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1257,  288 ,  46 ,  0.0000 ,  -   ,  0.0048 ,  -   ,  100 ,  0.07 ,  36.84 ,  35.44 ,  41.04 ,,NO,SI
,1258,  190 ,  27 ,  0.0001 ,  -   ,  0.0067 ,  -   ,  100 ,  0.08 ,  36.08 ,  35.66 ,  41.78 ,,NO,SI
,1259,  207 ,  29 ,  0.0000 ,  -   ,  0.0045 ,  -   ,  100 ,  0.07 ,  29.77 ,  30.09 ,  40.74 ,,NO,SI
,1260,  477 ,  64 ,  0.0001 ,  -   ,  0.0058 ,  -   ,  100 ,  0.12 ,  35.30 ,  35.42 ,  40.69 ,,NO,SI
,1261,  169 ,  21 ,  0.0001 ,  -   ,  0.0065 ,  -   ,  100 ,  0.13 ,  35.01 ,  35.50 ,  40.60 ,,NO,SI
,1262,  289 ,  28 ,  0.0001 ,  -   ,  0.0061 ,  -   ,  100 ,  0.19 ,  45.22 ,  46.10 ,  44.52 ,,NO,SI
,1263,  304 ,  32 ,  0.0001 ,  -   ,  0.0107 ,  -   ,  100 ,  0.20 ,  45.10 ,  45.86 ,  44.30 ,,NO,SI
,1264,  290 ,  29 ,  0.0002 ,  -   ,  0.0104 ,  -   ,  50 ,  0.24 ,  52.60 ,  53.76 ,  49.85 ,,NO,SI
,1265,  117 ,  27 ,  0.0001 ,  -   ,  0.0047 ,  -   ,  50 ,  0.11 ,  30.15 ,  30.30 ,  81.11 ,,NO,SI
,1266,  69 ,  10 ,  0.0014 ,  -   ,  0.0700 ,  -   ,  50 ,  0.16 ,  30.40 ,  30.72 ,  80.77 ,,NO,SI
,1267,  258 ,  43 ,  0.0001 ,  -   ,  0.0047 ,  -   ,  50 ,  0.12 ,  34.74 ,  34.85 ,  80.73 ,,NO,SI
,1268,  223 ,  21 ,  0.0001 ,  -   ,  0.0046 ,  -   ,  50 ,  0.13 ,  30.67 ,  30.33 ,  81.55 ,,NO,SI
,1269,  247 ,  19 ,  0.0001 ,  -   ,  0.0047 ,  -   ,  50 ,  0.12 ,  30.30 ,  29.58 ,  80.60 ,,NO,SI
,1270,  433 ,  60 ,  0.0001 ,  -   ,  0.0058 ,  -   ,  50 ,  0.13 ,  30.30 ,  30.45 ,  80.93 ,,NO,SI
,1271,  350 ,  43 ,  0.0001 ,  -   ,  0.0047 ,  -   ,  50 ,  0.14 ,  34.60 ,  34.15 ,  80.42 ,,NO,SI
,1272,  427 ,  51 ,  0.0001 ,  -   ,  0.0046 ,  -   ,  50 ,  0.15 ,  30.55 ,  31.15 ,  81.04 ,,NO,SI
,1273,  581 ,  71 ,  0.0002 ,  -   ,  0.0116 ,  -   ,  50 ,  0.15 ,  34.36 ,  34.79 ,  81.30 ,,NO,SI
,1274,"  1,202 ",  107 ,  0.0001 ,  -   ,  0.0067 ,  -   ,  50 ,  0.22 ,  34.94 ,  35.41 ,  80.33 ,,NO,SI
,1275,  184 ,  23 ,  0.0002 ,  -   ,  0.0097 ,  -   ,  50 ,  0.25 ,  34.66 ,  35.05 ,  80.86 ,,NO,SI
,1276,  644 ,  87 ,  0.0002 ,  -   ,  0.0097 ,  -   ,  50 ,  0.31 ,  35.00 ,  35.00 ,  80.00 ,,NO,SI
,1277,  296 ,  40 ,  0.0002 ,  -   ,  0.0108 ,  -   ,  50 ,  0.37 ,  45.00 ,  45.00 ,  80.00 ,,NO,SI
,1278,  247 ,  34 ,  0.0002 ,  -   ,  0.0107 ,  -   ,  50 ,  0.40 ,  45.00 ,  45.00 ,  80.00 ,,NO,SI
,1279,  369 ,  34 ,  0.0003 ,  -   ,  0.0081 ,  -   ,  25 ,  0.43 ,  53.62 ,  53.04 ,  81.88 ,,NO,SI
,1280,  80 ,  100 ,  0.0009 ,  0.0037 ,  0.0146 ,  4 ,  16 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1281,  117 ,  17 ,  0.0006 ,  -   ,  0.0300 ,  -   ,  50 ,  0.14 ,  40.00 ,  80.00 ,  190.00 ,,NO,SI
,1282,  109 ,  15 ,  0.0006 ,  -   ,  0.0300 ,  -   ,  50 ,  0.14 ,  37.73 ,  77.00 ,  190.00 ,,NO,SI
,1283,  62 ,  8 ,  0.0006 ,  -   ,  0.0300 ,  -   ,  50 ,  0.24 ,  40.00 ,  190.00 ,  80.00 ,,NO,SI
,1284,  210 ,  436 ,  0.0019 ,  0.0095 ,  0.0190 ,  5 ,  10 ,  1.44 ,  33.13 ,  33.13 ,  670.00 ,,NO,SI
,5184,"  2,523 ",  -   ,  0.0007 ,  0.0037 ,  0.0074 ,  5 ,  10 ,  1.44 ,  33.10 ,  33.10 ,  670.00 ,,NO,SI
,1285,"  2,167 ",  351 ,  0.0001 ,  0.0015 ,  0.0148 ,  20 ,  200 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1286,  90 ,  20 ,  0.0001 ,  0.0023 ,  0.0136 ,  20 ,  120 ,  0.60 ,  24.50 ,  31.50 ,  118.00 ,,NO,SI
,1287,"  1,086 ",  166 ,  0.0001 ,  0.0011 ,  0.0111 ,  14 ,  140 ,  0.36 ,  22.27 ,  22.27 ,  50.15 ,,NO,SI
,1288,  550 ,  96 ,  0.0001 ,  0.0008 ,  0.0084 ,  10 ,  100 ,  0.12 ,  22.50 ,  22.50 ,  76.00 ,,NO,SI
,1289,  656 ,  52 ,  0.0001 ,  0.0022 ,  0.0112 ,  20 ,  100 ,  0.47 ,  22.48 ,  22.48 ,  125.40 ,,NO,SI
,1290,  441 ,  58 ,  0.0002 ,  0.0011 ,  0.0107 ,  5 ,  50 ,  0.39 ,  22.50 ,  22.50 ,  250.00 ,,NO,SI
,1291,  145 ,#N/A,  0.0613 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1292,  298 ,  53 ,  0.0001 ,  0.0010 ,  0.0103 ,  10 ,  100 ,  0.11 ,  23.80 ,  23.80 ,  100.10 ,,NO,SI
,1293,"  1,657 ",  276 ,  0.0001 ,  0.0010 ,  0.0104 ,  10 ,  100 ,  0.14 ,  24.00 ,  24.00 ,  99.81 ,,NO,SI
,1294,  624 ,  108 ,  0.0001 ,  0.0010 ,  0.0103 ,  10 ,  100 ,  0.17 ,  24.00 ,  24.00 ,  100.00 ,,NO,SI
,1295,  154 ,  24 ,  0.0007 ,  0.0036 ,  0.0215 ,  5 ,  30 ,  0.65 ,  24.00 ,  95.00 ,  170.00 ,,NO,SI
,1296,  758 ,  123 ,  0.0001 ,  0.0010 ,  0.0103 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1297,  149 ,  22 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1298,  250 ,  37 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,,NO,SI
,1299,  458 ,  38 ,  0.0000 ,  0.0044 ,  0.0089 ,  120 ,  240 ,  0.02 ,  14.50 ,  65.00 ,  60.00 ,,NO,SI
,1300,  135 ,  36 ,  0.0001 ,  0.0091 ,  0.0182 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,,NO,SI
,1301,  164 ,  24 ,  0.0001 ,  0.0091 ,  0.0182 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  65.00 ,,NO,SI
,1302,"  1,091 ",  123 ,  0.0000 ,  0.0044 ,  0.0089 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  48.00 ,,NO,SI
,1303,  232 ,  27 ,  0.0001 ,  0.0124 ,  0.0247 ,  120 ,  240 ,  0.04 ,  21.50 ,  75.00 ,  130.00 ,,NO,SI
,1304,"  1,941 ",  81 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,,NO,SI
,1305,  240 ,  38 ,  0.0001 ,  0.0144 ,  0.0288 ,  120 ,  240 ,  0.10 ,  21.00 ,  75.00 ,  130.00 ,,NO,SI
,1306,  162 ,  33 ,  0.0009 ,  0.0090 ,  0.0358 ,  10 ,  40 ,  0.35 ,  34.75 ,  105.70 ,  350.00 ,,NO,SI
,1307,  92 ,  18 ,  0.0009 ,  0.0090 ,  0.0358 ,  10 ,  40 ,  0.40 ,  35.00 ,  106.00 ,  355.00 ,,NO,SI
,1308,"  5,612 ",  899 ,  0.0000 ,  -   ,  0.0200 ,  -   ,  500 ,  0.03 ,  8.58 ,  18.93 ,  111.87 ,,NO,SI
,1309,"  1,524 ",  160 ,  0.0000 ,  -   ,  0.0200 ,  -   ,  500 ,  0.03 ,  9.00 ,  16.50 ,  107.00 ,,NO,SI
,1310,  223 ,  45 ,  0.0009 ,  -   ,  0.0087 ,  -   ,  10 ,  2.10 ,  41.30 ,  41.30 ,  500.00 ,,NO,SI
,1311,  197 ,  31 ,  0.0011 ,  -   ,  0.0107 ,  -   ,  10 ,  2.14 ,  44.03 ,  44.03 ,  500.00 ,,NO,SI
,1312,  166 ,  33 ,  0.0011 ,  -   ,  0.0107 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1313,  294 ,  55 ,  0.0012 ,  -   ,  0.0122 ,  -   ,  10 ,  2.19 ,  46.48 ,  46.48 ,  500.00 ,,NO,SI
,1314,  515 ,  95 ,  0.0012 ,  -   ,  0.0122 ,  -   ,  10 ,  2.26 ,  46.52 ,  46.52 ,  500.00 ,,NO,SI
,1315,"  1,401 ",  264 ,  0.0003 ,  -   ,  0.0049 ,  -   ,  16 ,  1.44 ,  20.16 ,  20.16 ,  600.00 ,,NO,SI
,1316,"  1,498 ",  335 ,  0.0008 ,  0.0083 ,  0.0497 ,  10 ,  60 ,  0.38 ,  30.25 ,  90.00 ,  300.00 ,,NO,SI
,5185,  875 ,  -   ,  0.0008 ,  0.0082 ,  0.0490 ,  10 ,  60 ,  0.38 ,  30.30 ,  90.00 ,  300.00 ,,NO,SI
,1317,"  1,378 ",  273 ,  0.0001 ,  0.0010 ,  0.0102 ,  15 ,  150 ,  0.09 ,  21.81 ,  21.81 ,  63.45 ,,NO,SI
,1318,  730 ,  120 ,  0.0001 ,  0.0010 ,  0.0102 ,  10 ,  100 ,  0.14 ,  28.00 ,  28.00 ,  63.50 ,,NO,SI
,1319,  22 ,  14 ,  0.0063 ,  -   ,  0.0314 ,  -   ,  5 ,  1.83 ,  17.00 ,  480.00 ,  550.00 ,,NO,SI
,1320,"  2,611 ",  423 ,  0.0020 ,  -   ,  0.0980 ,  -   ,  50 ,#N/A,#N/A,#N/A,#N/A,,NO,SI
,1321,"  10,286 ","  1,634 ",  0.0001 ,  0.0008 ,  0.0475 ,  6 ,  360 ,  0.04 ,  27.50 ,  27.50 ,  170.00 ,,NO,SI
,1322,"  6,439 ",  604 ,  0.0002 ,  0.0013 ,  0.0521 ,  6 ,  240 ,  0.04 ,  27.50 ,  27.50 ,  295.00 ,,NO,SI
,1323,"  18,232 ","  3,218 ",  0.0001 ,  0.0009 ,  0.0526 ,  6 ,  360 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,1324,"  26,454 ","  4,192 ",  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.06 ,  29.18 ,  30.54 ,  200.00 ,,NO,SI
,1325,"  16,780 ","  2,455 ",  0.0003 ,  0.0017 ,  0.0662 ,  6 ,  240 ,  0.07 ,  30.50 ,  30.50 ,  250.00 ,,NO,SI
