,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],
,1,  596 ,  73 ,  0.0003 ,  0.0030 ,  0.0181 ,  12 ,  72 ,  0.18 ,  17.00 ,  65.00 ,  200.00 ,
,2,  743 ,  127 ,  0.0004 ,  0.0053 ,  0.0318 ,  12 ,  72 ,  0.35 ,  20.00 ,  80.00 ,  245.00 ,
,3,"  2,044 ",  325 ,  0.0006 ,  0.0038 ,  0.0305 ,  6 ,  48 ,  0.50 ,  23.00 ,  90.00 ,  290.00 ,
,4,"  1,850 ",  274 ,  0.0003 ,  -   ,  0.0406 ,  -   ,  120 ,  0.10 ,  23.00 ,  90.00 ,  245.00 ,
,5,"  1,144 ",  198 ,  0.0021 ,  -   ,  0.0415 ,  -   ,  20 ,  0.75 ,  53.50 ,  215.00 ,  370.00 ,
,6,"  1,345 ",  232 ,  0.0006 ,  -   ,  0.0323 ,  -   ,  50 ,  0.26 ,  19.60 ,  245.00 ,  98.00 ,
,6,  107 ,  232 ,  0.0006 ,  -   ,  0.0323 ,  -   ,  50 ,  0.26 ,  19.60 ,  245.00 ,  98.00 ,
,7,  846 ,  135 ,  0.0007 ,  0.0067 ,  0.0334 ,  10 ,  50 ,  -   ,  -   ,  -   ,  -   ,
,8,"  7,551 ","  1,266 ",  0.0003 ,  0.0072 ,  0.0286 ,  25 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,9,  333 ,  57 ,  0.0106 ,  -   ,  0.0212 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,
,10,  221 ,  26 ,  0.0002 ,  -   ,  0.0184 ,  -   ,  120 ,  0.17 ,  20.00 ,  35.00 ,  160.00 ,
,11,  185 ,  24 ,  0.0002 ,  -   ,  0.0216 ,  -   ,  120 ,  0.23 ,  20.00 ,  30.00 ,  180.00 ,
,12,  164 ,  16 ,  0.0003 ,  -   ,  0.0187 ,  -   ,  60 ,  0.40 ,  20.00 ,  35.00 ,  210.00 ,
,13,"  1,742 ",  256 ,  0.0003 ,  0.0017 ,  0.0330 ,  6 ,  120 ,  0.14 ,  23.42 ,  48.00 ,  230.00 ,
,14,"  2,288 ",  354 ,  0.0003 ,  0.0018 ,  0.0177 ,  6 ,  60 ,  0.27 ,  23.40 ,  56.80 ,  270.00 ,
,15,"  1,917 ",  316 ,  0.0004 ,  0.0026 ,  0.0211 ,  6 ,  48 ,  0.39 ,  18.50 ,  45.00 ,  320.00 ,
,16,  763 ,  138 ,  0.0007 ,  0.0041 ,  0.0243 ,  6 ,  36 ,  0.66 ,  17.60 ,  86.58 ,  378.00 ,
,17,"  1,629 ",  314 ,  0.0014 ,  -   ,  0.0278 ,  -   ,  20 ,  1.00 ,  30.00 ,  350.00 ,  350.00 ,
